partes	grt20072008	grt20082009	grt20092010	grt20102011	grt20112012	grt20122013	grt20132014
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.292685799753	0.0	0.0	0.0	0.0	0.0	0.0
3	0.102545267263	-0.616508193557	0.119817104723	-0.922023128457	0.0	0.0	-0.723831929978
4	-0.00287065272131	-0.261410208853	0.00183003534903	-0.0957675316855	-0.315862291083	0.361479462173	-0.00549768877198
5	-0.0670208173934	-0.156984757772	-0.0457829425761	-0.0029176337369	-0.117650130969	-0.107455408179	0.0304615028358
6	-0.0173245155343	-0.119944771349	-0.00664791086872	-0.00605063274832	-0.0771837446248	-0.179389158205	-0.0169626843347
7	0.043179882959	-0.131701210545	-0.0255077862453	0.00493870193271	-0.0823358890192	-0.0934746700703	-0.113055902969
8	0.0831954457956	-0.121394127664	0.0331154519647	-0.0495246326121	-0.0377562107609	-0.16128589877	-0.0922496854778
9	0.0406846895935	-0.0554784393554	0.000693565859863	-0.0725637849559	0.00232559701846	-0.225766114376	-0.0683565190013
10	0.0144323128369	-0.043402272754	0.00173799182052	-0.089065774378	0.0158798023454	-0.190059440521	-0.144224583307
11	0.0284020848239	-0.0330757022588	0.0371500638656	-0.117922593621	0.0153125664749	-0.196862028551	-0.137172978427
12	0.029484873167	-0.0338789835664	0.0387037452225	-0.091270874957	0.0159305891322	-0.212371311498	-0.137976728138
13	0.0349075328271	-0.0422393563909	0.0419044919045	-0.0768359860031	-0.0113340346728	-0.209418469247	-0.110880379669
14	0.0450593347356	-0.0455184970787	0.0249465888094	-0.0684615938559	0.00700078343398	-0.217712974642	-0.115808109045
15	0.0443033223933	-0.0439944537853	0.00829385916073	-0.0599966844672	0.0177623284307	-0.213621445794	-0.117676496048
16	0.035461367212	-0.0517474471044	0.00564246936371	-0.0454704079137	0.0168625266701	-0.210362852835	-0.122611356284
17	0.0345666513874	-0.0575755490349	0.0164267538499	-0.0675290535137	0.0422194936867	-0.201188348899	-0.14083314663
18	0.0211917566944	-0.0363482227525	-0.0089064401199	-0.0605634809979	0.0482830857773	-0.201686315582	-0.149332927162
19	0.0172510497068	-0.0322230026004	-0.00242597251482	-0.0588715048673	0.0456839406175	-0.213664438726	-0.140000669743
20	0.0114563590962	-0.0177449176608	-0.0112294221817	-0.0645642270269	0.0618812479439	-0.233006979872	-0.119258120638
21	0.0147026670822	-0.0141438117547	0.00373926834577	-0.0687629311687	0.0633663236407	-0.235394339841	-0.123514326808
22	0.0211673660397	-0.00623510400911	-0.0080523566017	-0.0653901968561	0.0708347833304	-0.232558580284	-0.128046599102
23	0.0176596176622	-0.00526902187006	-0.00149425519526	-0.0648782328852	0.0608056188247	-0.216757634118	-0.126942742084
24	0.0121615330859	0.000771672211447	0.0026116234182	-0.056212657603	0.0435803168827	-0.209291890541	-0.128762741113
25	0.00435995197658	0.0062541254121	0.00272611931228	-0.0408245331256	0.0160271715906	-0.198269734031	-0.136339992193
26	-0.000815176822041	0.012615759048	-0.00467511868785	-0.0330530090167	-0.000538690193817	-0.182098130351	-0.140955899279
27	0.00585003486733	0.00413687542354	0.00112429382824	-0.0345934461329	-0.00815845948282	-0.1736124525	-0.127993932613
28	0.00561935216895	0.00287073997656	0.00427443891021	-0.0353137158072	-0.00556614427021	-0.187978144316	-0.116314400055
29	0.00295861580545	0.0113374088765	0.005144160892	-0.0504262268888	0.00402984396941	-0.199185212176	-0.10751379913
30	3.7222685938e-05	0.0140152308002	-0.00945289271878	-0.0498440540318	0.0114970777712	-0.207044257603	-0.100206705749
31	0.00325100979893	0.0123076869133	-0.0162276985491	-0.0451557251102	0.014284309169	-0.204841287226	-0.0992790828248
32	0.010211358206	0.00251865753693	-0.0128096889267	-0.040949477865	0.0153562606242	-0.187623974383	-0.120500214457
33	0.0118863790732	-0.00403263067579	-0.00998817498653	-0.0315834577318	0.0154925093143	-0.179435803449	-0.125059685885
34	0.00675376250013	-0.00717675669923	0.000215699094121	-0.0275067971359	0.0122010877124	-0.171859760043	-0.132438800946
35	0.00863429177549	-0.0114298118685	0.0207271079283	-0.0333699160686	0.00157263912239	-0.162763311237	-0.14072618374
36	0.00652396139168	-0.0193988472991	0.0391126910451	-0.0377073939728	-0.00578584090485	-0.159869636444	-0.13871375338
37	0.000365565957685	-0.0164599472951	0.0419957535098	-0.0370324796257	-0.0068039408534	-0.163654788473	-0.136985844305
38	-0.00196310486548	0.0029586673443	0.0310547492779	-0.0416976957047	-0.00892831712001	-0.170616199909	-0.127604791434
39	-0.00380660736378	0.00953224043601	0.0253148746267	-0.0434571729407	-0.00788447352436	-0.176179193174	-0.121440469189
40	-0.00405727276724	0.0148225215212	0.0171644425177	-0.0346949879103	-0.0137469324265	-0.174786096943	-0.121200566708
41	-0.0100409174862	0.0192727838832	0.0213142205325	-0.034424790076	-0.0133725987824	-0.170826886148	-0.131044208608
42	-0.00732150641512	0.0190372541579	0.0185802819884	-0.031508413523	-0.0160790967019	-0.159065501646	-0.143290237001
43	2.90924676936e-05	0.0167477858786	0.0197748371995	-0.0358891192124	-0.0110569839945	-0.157667500881	-0.147950559154
44	0.00652415730056	0.0163488958689	0.016407764287	-0.0340526636385	-0.010081089617	-0.152909581581	-0.152932788669
45	0.0176349331442	0.0105018657776	0.0125343402643	-0.0345275890373	-0.0038397437726	-0.151182142254	-0.157565606079
46	0.0227045650145	0.00663865612743	0.016344987026	-0.0393762572607	-0.0024492365753	-0.147362241083	-0.155372764978
47	0.0280460204466	0.00311829794193	0.0200148876155	-0.0373045148827	-0.00864723852409	-0.14520174188	-0.156070163017
48	0.0259030712354	0.00260639842032	0.0281922402225	-0.0406698027982	-0.0136967585837	-0.141016713839	-0.155777899655
49	0.0227947810507	0.0103176192467	0.01809928753	-0.0425788849195	-0.0141002508485	-0.140157063895	-0.15215318201
50	0.0301123692883	0.00376120271452	0.0215405314412	-0.0406456261845	-0.0185114335361	-0.129344863161	-0.163821610801
51	0.0313947887733	0.00117438515021	0.0299602802338	-0.047123604756	-0.00805320824534	-0.132309810218	-0.171175156638
52	0.0310022853455	0.00309890357025	0.0295607174892	-0.0501926808009	-0.00080891092498	-0.13776052097	-0.172037073787
53	0.0301276501804	0.00328259064814	0.0287997945327	-0.0509732953028	0.00245203860492	-0.138721079083	-0.175119846126
54	0.0341036207652	0.00557121974794	0.0249063756173	-0.0524869447311	0.00607795249239	-0.138368161371	-0.178540009979
55	0.0347779391073	0.00897371982864	0.0208475240979	-0.0535210268507	0.00633109835558	-0.135919964317	-0.181656093619
56	0.0371412858011	0.00712761807484	0.018214118534	-0.0478785920474	0.00264721748041	-0.134849941189	-0.184566095425
57	0.0367150860471	0.0136564349242	0.00651386689516	-0.0438668214826	0.000598583576874	-0.135740374907	-0.18412561206
58	0.035387999339	0.017894011893	3.09418172302e-05	-0.0379345574348	-0.00527919892477	-0.133249393624	-0.17916528447
59	0.0316098967163	0.0190790266508	-0.000825710877131	-0.038248563293	-0.00752012211075	-0.122950081877	-0.180851834561
60	0.0322033046937	0.0182425511301	0.0044453449765	-0.0421657549452	-0.00952514942838	-0.120395028603	-0.177773136998
61	0.0358825712898	0.013292603971	0.0076095646757	-0.0429505278247	-0.00203663771424	-0.124981706636	-0.176253958361
62	0.0358524013233	0.0138407746973	0.0087472629013	-0.043462975328	-0.00122326105455	-0.124353717638	-0.175730960767
63	0.0362396152114	0.0122995748444	0.0124622916285	-0.0443861351441	-8.81763695015e-05	-0.129459650117	-0.169873163601
64	0.0350595581128	0.00816213996779	0.0173273059456	-0.0458460157835	0.00283250168881	-0.134610871266	-0.162365183727
65	0.0331259375327	0.00628853177339	0.0212112300795	-0.0472381051983	0.00604108829025	-0.138493279152	-0.155351779878
66	0.03180139764	0.00963462034033	0.0207687732634	-0.0474717479927	0.00531431185841	-0.131651559205	-0.155863469967
67	0.0300585923026	0.009586600622	0.0219892436427	-0.0459881742719	0.00665683429852	-0.127088360322	-0.158057940978
68	0.0307097933976	0.0118555556236	0.0180162919697	-0.0431975161099	0.00834269293012	-0.121258330859	-0.165417395241
69	0.0297664921724	0.0181466049356	0.0124848556974	-0.0431805924804	0.0146747544834	-0.12442718129	-0.170360201291
70	0.0284014970973	0.0205914146727	0.0124401743729	-0.0431447143857	0.017590353863	-0.124066958953	-0.172317316557
71	0.0287588348823	0.0204667498894	0.00920334752134	-0.0418757322877	0.0197697199609	-0.125716134447	-0.17035154239
